city_id,year,month,region,state,city,deaths
65924446,2017,1,North,Acre,Acrelândia,3
82280746,2017,1,North,Acre,Brasiléia,11
43868530,2017,1,North,Acre,Bujari,1
70178755,2017,1,North,Acre,Cruzeiro do Sul,38
69033674,2017,1,North,Acre,Epitaciolândia,4
19178699,2017,1,North,Acre,Feijó,9
86352283,2017,1,North,Acre,Manoel Urbano,6
32075369,2017,1,North,Acre,Mâncio Lima,4
22070895,2017,1,North,Acre,Plácido de Castro,1
41129086,2017,1,North,Acre,Porto Acre,5
41680137,2017,1,North,Acre,Rio Branco,160
54692870,2017,1,North,Acre,Rodrigues Alves,2
38626710,2017,1,North,Acre,Sena Madureira,4
84843218,2017,1,North,Acre,Senador Guiomard,4
1672030,2017,1,North,Acre,Tarauacá,11
61641364,2017,1,North,Acre,Xapuri,4
67559789,2017,1,North,Amazonas,Borba,2
86715639,2017,1,North,Amazonas,Itacoatiara,5
79819096,2017,1,North,Amazonas,Manaus,173
99878032,2017,1,North,Amapá,Laranjal do Jari,19
95731673,2017,1,North,Amapá,Macapa,161
25953435,2017,1,North,Pará,Abaetetuba,1
81006409,2017,1,North,Pará,Altamira,62
16611839,2017,1,North,Pará,Barcarena,8
68854303,2017,1,North,Pará,Belém,28
25930731,2017,1,North,Pará,Canaã dos Carajás,10
99142537,2017,1,North,Pará,Dom Eliseu,6
45203585,2017,1,North,Pará,Igarapé-Miri,1
94540974,2017,1,North,Pará,Ipixuna do Para,3
72079056,2017,1,North,Pará,Itaituba,38
25743403,2017,1,North,Pará,Marituba,5
84103426,2017,1,North,Pará,Monte Alegre,13
29542311,2017,1,North,Pará,Novo Repartimento,11
63756804,2017,1,North,Pará,Pacajá,11
60592548,2017,1,North,Pará,Paragominas,42
28042721,2017,1,North,Pará,Rio Maria,9
42669134,2017,1,North,Pará,Rondon do Pará,10
93347183,2017,1,North,Pará,Santa Maria das Barreiras,1
48557970,2017,1,North,Pará,Santarem,152
74457692,2017,1,North,Pará,São Domingos do Araguaia,4
45051201,2017,1,North,Pará,São Domingos do Capim,3
47942072,2017,1,North,Pará,São Félix do Xingu,10
75857936,2017,1,North,Pará,São Geraldo do Araguaia,11
29047361,2017,1,North,Pará,São João do Araguaia,4
74170536,2017,1,North,Pará,Tucumã,13
37091484,2017,1,North,Pará,Tucurui,27
53036654,2017,1,North,Pará,Uruará,8
71195412,2017,1,North,Pará,Vigia,13
87105796,2017,1,North,Pará,Vitória do Xingu,1
93893842,2017,1,North,Pará,Xinguara,9
32653787,2017,1,North,Rondônia,Alta Floresta D'oeste,6
29020846,2017,1,North,Rondônia,Alto Alegre dos Parecis,2
18412473,2017,1,North,Rondônia,Ariquemes,35
87775593,2017,1,North,Rondônia,Buritis,10
74397224,2017,1,North,Rondônia,Cacoal,92
89417018,2017,1,North,Rondônia,Candeias do Jamari,5
93779171,2017,1,North,Rondônia,Cerejeiras,2
23352429,2017,1,North,Rondônia,Chupinguaia,1
48574901,2017,1,North,Rondônia,Colorado do Oeste,6
11586031,2017,1,North,Rondônia,Corumbiara,1
63094859,2017,1,North,Rondônia,Espigão do Oeste,18
56084356,2017,1,North,Rondônia,Guajara-Mirim,14
362520,2017,1,North,Rondônia,Jaru,14
38887176,2017,1,North,Rondônia,Ji-Paraná,44
96925869,2017,1,North,Rondônia,Machadinho D'oeste,6
29124184,2017,1,North,Rondônia,Ministro Andreazza,2
99374637,2017,1,North,Rondônia,Mirante da Serra,4
56043358,2017,1,North,Rondônia,Nova Mamoré,4
27889972,2017,1,North,Rondônia,Ouro Preto do Oeste,22
62538048,2017,1,North,Rondônia,Pimenta Bueno,8
55046911,2017,1,North,Rondônia,Porto Velho,252
46058344,2017,1,North,Rondônia,Presidente Médici,7
50504199,2017,1,North,Rondônia,Rio Crespo,1
54009789,2017,1,North,Rondônia,Seringueiras,1
71644622,2017,1,North,Rondônia,São Felipe D'oeste,2
38263005,2017,1,North,Rondônia,São Francisco do Guaporé,1
88915150,2017,1,North,Rondônia,São Miguel do Guaporé,4
2684411,2017,1,North,Rondônia,Teixeirópolis,2
7491468,2017,1,North,Rondônia,Theobroma,2
53804433,2017,1,North,Rondônia,Urupá,2
5135083,2017,1,North,Rondônia,Vale do Anari,1
66830510,2017,1,North,Rondônia,Vilhena,45
82024192,2017,1,North,Roraima,Alto Alegre,3
15616192,2017,1,North,Roraima,Boa Vista,149
53619859,2017,1,North,Roraima,Rorainópolis,5
44982697,2017,1,North,Tocantins,Aguiarnópolis,3
36449795,2017,1,North,Tocantins,Almas,2
11479595,2017,1,North,Tocantins,Alvorada,1
77783586,2017,1,North,Tocantins,Ananás,4
68288565,2017,1,North,Tocantins,Aparecida do Rio Negro,1
66818925,2017,1,North,Tocantins,Araguacema,5
14957964,2017,1,North,Tocantins,Araguana,2
17085563,2017,1,North,Tocantins,Araguatins,9
81466618,2017,1,North,Tocantins,Augustinópolis,21
9230860,2017,1,North,Tocantins,Aurora do Tocantins,1
42026820,2017,1,North,Tocantins,Babaçulândia,3
90465220,2017,1,North,Tocantins,Barra do Ouro,1
10542197,2017,1,North,Tocantins,Barrolândia,3
87928739,2017,1,North,Tocantins,Bernardo Sayão,2
85711629,2017,1,North,Tocantins,Cachoeirinha,1
94181085,2017,1,North,Tocantins,Campos Lindos,4
21342586,2017,1,North,Tocantins,Carrasco Bonito,1
27750732,2017,1,North,Tocantins,Caseara,3
50010011,2017,1,North,Tocantins,Centenário,3
68652680,2017,1,North,Tocantins,Colinas do Tocantins,8
9676685,2017,1,North,Tocantins,Colméia,2
46339398,2017,1,North,Tocantins,Cristalândia,2
61891835,2017,1,North,Tocantins,Darcinópolis,2
55524451,2017,1,North,Tocantins,Dianópolis,7
12212322,2017,1,North,Tocantins,Dois Irmãos do Tocantins,2
835240,2017,1,North,Tocantins,Figueirópolis,2
89043816,2017,1,North,Tocantins,Fátima,2
52609604,2017,1,North,Tocantins,Goianorte,1
88229819,2017,1,North,Tocantins,Guaraí,11
78956598,2017,1,North,Tocantins,Gurupi,57
63980240,2017,1,North,Tocantins,Itacajá,2
13641600,2017,1,North,Tocantins,Itapiratins,3
17906593,2017,1,North,Tocantins,Juarina,1
27814670,2017,1,North,Tocantins,Lagoa da Confusão,4
88965314,2017,1,North,Tocantins,Lajeado,1
87019673,2017,1,North,Tocantins,Lizarda,2
19904739,2017,1,North,Tocantins,Maurilândia do Tocantins,4
98531844,2017,1,North,Tocantins,Miracema do Tocantins,7
59362023,2017,1,North,Tocantins,Monte Santo do Tocantins,1
44769386,2017,1,North,Tocantins,Nazaré,2
58370415,2017,1,North,Tocantins,Nova Olinda,6
78336115,2017,1,North,Tocantins,Nova Rosalândia,4
10810984,2017,1,North,Tocantins,Palmas,149
59662479,2017,1,North,Tocantins,Palmeirante,1
57061397,2017,1,North,Tocantins,Palmeiras do Tocantins,2
35252027,2017,1,North,Tocantins,Palmeirópolis,2
59361560,2017,1,North,Tocantins,Paraiso do Tocantins,8
57507007,2017,1,North,Tocantins,Paranã,1
8959059,2017,1,North,Tocantins,Pau D'arco,2
32433848,2017,1,North,Tocantins,Pedro Afonso,4
22786456,2017,1,North,Tocantins,Pequizeiro,2
42861223,2017,1,North,Tocantins,Pium,5
46651956,2017,1,North,Tocantins,Pugmil,1
34302329,2017,1,North,Tocantins,Recursolândia,2
18294666,2017,1,North,Tocantins,Riachinho,1
15955270,2017,1,North,Tocantins,Rio da Conceição,2
96933938,2017,1,North,Tocantins,Santa Fé do Araguaia,1
30088150,2017,1,North,Tocantins,Silvanópolis,1
73459585,2017,1,North,Tocantins,São Sebastião do Tocantins,1
94254707,2017,1,North,Tocantins,São Valério da Natividade,1
19809052,2017,1,North,Tocantins,Tocantinópolis,2
28524258,2017,1,North,Tocantins,Tocantínia,2
21104672,2017,1,Northeast,Alagoas,Arapiraca,51
52877936,2017,1,Northeast,Alagoas,Boca da Mata,6
49223264,2017,1,Northeast,Alagoas,Cajueiro,6
26308879,2017,1,Northeast,Alagoas,Campestre,2
40173895,2017,1,Northeast,Alagoas,Carneiros,2
81548762,2017,1,Northeast,Alagoas,Coruripe,1
56195405,2017,1,Northeast,Alagoas,Craíbas,1
73376081,2017,1,Northeast,Alagoas,Girau do Ponciano,1
67029054,2017,1,Northeast,Alagoas,Ibateguara,5
88796458,2017,1,Northeast,Alagoas,Jaramataia,1
30691697,2017,1,Northeast,Alagoas,Junqueiro,2
33282753,2017,1,Northeast,Alagoas,Lagoa da Canoa,8
46178773,2017,1,Northeast,Alagoas,Maceio,785
2364142,2017,1,Northeast,Alagoas,Maragogi,3
73206818,2017,1,Northeast,Alagoas,Olho D'água Grande,1
99523711,2017,1,Northeast,Alagoas,Palmeira dos Índios,1
48105516,2017,1,Northeast,Alagoas,Penedo,1
67455076,2017,1,Northeast,Alagoas,Porto Calvo,9
79132210,2017,1,Northeast,Alagoas,Porto Real do Colégio,1
